DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1775750687,849055051,761,16,,4/9/2026,11:04:47,18524.25,458.13971,2154.3362,39.2828,54.9131,29.0622,40.2836,0.00663622,11.3882,54.4548,88.25,0.53542,14.5063,255
DATA,1775750688,849055051,765,16,,4/9/2026,11:04:48,18490.76,459.44778,2154.9827,39.2862,54.914,29.0667,40.2836,0.00661807,11.3881,54.4556,517,0.53542,14.5067,151
DATA,1775750689,849055051,769,16,,4/9/2026,11:04:49,18386.297,454.64786,2154.3958,39.2862,54.9148,29.0705,40.2836,0.00651211,11.388,54.4561,372.75,0.53542,14.5075,89
DATA,1775750690,849055051,773,19,,4/9/2026,11:04:50,17388.195,953.67212,2071.0161,39.2828,54.9152,29.0688,40.2834,0.0323571,11.3899,54.4571,-245,0.534846,14.5079,15
DATA,1775750691,849055051,777,19,,4/9/2026,11:04:51,17415.998,513.23352,2164.9341,39.2812,54.9158,29.0672,40.2821,0.00872455,11.3929,54.4579,-689.25,0.533888,14.509,183
DATA,1775750692,848716020,781,19,,4/9/2026,11:04:52,17065.168,446.54205,2153.0374,39.2828,54.9158,29.0651,40.2821,0.00606451,11.3942,54.4585,654.25,0.533888,14.5114,149
DATA,1775750693,848716020,785,16,,4/9/2026,11:04:53,17075.744,445.30255,2151.0603,39.2824,54.9167,29.0717,40.2821,0.00602045,11.3945,54.4592,452,0.533888,14.5114,242
DATA,1775750694,848716020,789,16,,4/9/2026,11:04:54,17038.506,441.3511,2150.022,39.2808,54.9175,29.0696,40.2819,0.00599529,11.394,54.4598,-465.75,0.533505,14.5102,51
DATA,1775750695,848716020,793,16,,4/9/2026,11:04:55,16880.266,447.13647,2150.2324,39.2841,54.9183,29.0705,40.2811,0.00593435,11.395,54.4604,167,0.533122,14.5106,188
DATA,1775750696,848716020,797,16,,4/9/2026,11:04:56,16677.895,441.67459,2150.9138,39.2816,54.9191,29.0734,40.2813,0.00585795,11.3953,54.4611,-108.5,0.533122,14.5114,166
